Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,Model,C-Index Type,Quantile,Baseline Trade Count,Delta Trade Count
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,No Filter,,62,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,No Filter,,88,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,No Filter,,176,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_full,0.2,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_full,0.3,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_full,0.4,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_full,0.5,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_ties3,0.2,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_ties3,0.3,62,0
46,0.1321617102671805,58.69565217391305,0.1061116706032928,0.7737739266068829,53.174311926605505,218,-6.710658547920723,,gbm,C_tau_ties3,0.4,62,-16
41,0.1496204973048676,60.97560975609756,0.1222896997105772,0.8418870525331175,47.39449541284404,218,-6.710658547920723,,gbm,C_tau_ties3,0.5,62,-21
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_ties5,0.2,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_ties5,0.3,62,0
41,0.3916993389833387,63.41463414634146,0.1959781126359057,1.349185058091817,47.39449541284404,218,-4.985441104362032,,gbm,C_tau_ties5,0.4,62,-21
37,0.197718443948888,64.86486486486487,0.1536549596458289,1.0048921844581609,42.77064220183486,218,-4.985441104362032,,gbm,C_tau_ties5,0.5,62,-25
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_ties10,0.2,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_tau_ties10,0.3,62,0
38,0.1341404228425505,60.526315789473685,0.101957831038994,0.6757474414015647,43.92660550458715,218,-5.791869326048005,,gbm,C_tau_ties10,0.4,62,-24
32,0.281904713037992,68.75,0.2121762359517512,1.290457640798918,36.99082568807339,218,-4.948568103562678,,gbm,C_tau_ties10,0.5,62,-30
53,0.2932471542628283,60.37735849056604,0.1585054037388768,1.2406635728561404,61.26605504587156,218,-7.55553212690705,,gbm,C_RBO_full,0.2,62,-9
47,0.1474006440049225,61.702127659574465,0.113989174377165,0.8402036437557169,54.330275229357795,218,-5.791869326048005,,gbm,C_RBO_full,0.3,62,-15
39,0.2152167362489571,66.66666666666666,0.1661297238803296,1.1154540132116575,45.08256880733945,218,-4.139772203795644,,gbm,C_RBO_full,0.4,62,-23
33,0.3392933617319347,72.72727272727273,0.2761555455403833,1.7056218947437638,38.14678899082568,218,-4.118556573770782,,gbm,C_RBO_full,0.5,62,-29
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_Mallows_full,0.2,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_Mallows_full,0.3,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_Mallows_full,0.4,62,0
62,0.2749938329545316,59.67741935483871,0.1582412429032566,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,gbm,C_Mallows_full,0.5,62,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_full,0.2,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_full,0.3,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_full,0.4,88,0
41,0.2063653828253464,60.97560975609756,0.1663757873996197,1.1453918163037844,47.39449541284404,218,-7.2008869418285215,,mlp,C_tau_full,0.5,88,-47
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_ties3,0.2,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_ties3,0.3,88,0
52,0.2526498990689514,57.692307692307686,0.1406106680065909,1.0901643274833006,60.11009174311926,218,-7.120978475752704,,mlp,C_tau_ties3,0.4,88,-36
45,0.2010527672112713,55.55555555555556,0.1061250216346975,0.7654134196819923,52.01834862385321,218,-6.46149391140014,,mlp,C_tau_ties3,0.5,88,-43
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_ties5,0.2,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_ties5,0.3,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_ties5,0.4,88,0
43,0.0562070650024335,58.139534883720934,0.046900641758142,0.3306625698948237,49.70642201834862,218,-8.558587589423627,,mlp,C_tau_ties5,0.5,88,-45
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_ties10,0.2,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_tau_ties10,0.3,88,0
48,0.273362712515481,58.333333333333336,0.1448431474758008,1.0789233591149043,55.486238532110086,218,-6.5941148256191795,,mlp,C_tau_ties10,0.4,88,-40
39,0.2760486908186816,58.97435897435898,0.1374895159394255,0.9231534775777656,45.08256880733945,218,-6.5941148256191795,,mlp,C_tau_ties10,0.5,88,-49
65,0.238542462193678,58.46153846153847,0.1394505673675328,1.2087847922127617,75.13761467889908,218,-7.120978475752704,,mlp,C_RBO_full,0.2,88,-23
56,0.3281932355785983,62.5,0.187061608296905,1.505049213213157,64.73394495412843,218,-6.46149391140014,,mlp,C_RBO_full,0.3,88,-32
47,0.3044672296765237,59.57446808510638,0.1598859401105638,1.17850445185008,54.330275229357795,218,-6.46149391140014,,mlp,C_RBO_full,0.4,88,-41
